Description
1/4-20  Allthread Rod
3/8-16 Allthread Rod
1/2-13 Allthread Rod
5/8-11 Allthread Rod
5/16-18 Allthread Rod
70W MH Ballast M98
100W MH Ballast M90
150W MH Ballast M81
175W MH Ballast M57
250W MH Ballast M58 5-TAP
400W MH Ballast M59 5-TAP
1000W MH Ballast M47/H36 5-TAP
70W HPS Ballast S62
100W HPS Ballast S54
150W HPS Ballast S55 208/277V
250W HPS Ballast S50
400W HPS Ballast S51 5-TAP
1000W HPS Ballast S52
8' 3 Prong Utility Cord
T12 4' 2-Lamp Ballast F40T12
T12 8' 2 Lamp Ballast F96T12
T12HO 8' 2-Lamp Ballast F96T12HO
T8 4' 2-Lamp Ballast F32T8
T8 4' 3-Lamp Ballast F32T8
T8 4' 4-Lamp Ballast F32T8
T8HO 8' 2-Lamp Ballast F96T8HO
1G Bell Box w/2 1/2 Holes
1G Bell Box w/5 1/2 Holes
2G Bell Box w/5 1/2 Holes
1G Bell Blank Cover
2G Bell Blank Cover
1G Bell Extension Ring
1G Bell Extension w/ 1/2 Hubs
2G Bell Extension Ring
2G Bell Duplex Cover
2G Bell GFCI Cover
1G Bell Single Outlet Cover
1G Bell GFCI Cover
1G Bell Weatherproof Recept Cover
Par Holder
Round 4-0 Bell Box
Round Bell Cover w/1 Hole
Round Bell Cover w/3 1/2 Holes
1G Bell Box w/3 3/4 Holes
1G Bell Box w/5 3/4 Holes
1G Bell Duplex Cover
6x6x4 Indoor Junction Box
6x6x6 Indoor Junction Box
8x8x4 Indoor Junction Box
8x8x6 Indoor Junction Box
8x8x6 NEMA3R Junction Box
8x8x8 Indoor Junction Box
10x10x4 Indoor Junction Box
10x10x6 Indoor Junction Box
12x12x4 Indoor Junction Box
12x12x6 Indoor Junction Box
12x12x8 Indoor Junction Box
2x12x2 Indoor Junction Box
18x18x6 Indoor Junction Box
18x18x8 Indoor Junction Box
18x18x12 Indoor Junction Box
24x24x6 Indoor Junction Box
24x24x8 Indoor Junction Box
24x24x12 Indoor Junction Box
12x12x6 Raintight Junction Box
4 Square Box (1900)
4 Square Deep Box
4 Square Box w/Mounting Bracket
4 Square Extension Ring
4 Square Blank Cover
1G 5/8 Raised Plaster Ring
1G 3/4 Raised Plaster Ring
1G 1 Raised Plaster Ring
2G 1/2 Raised Plaster Ring
2G 3/4 Raised Plaster Ring
4 Sq. Cover For Switch & Single Outlet
4 Sq. Cover For Switch & Duplex Outlet
4 Sq. Cover For 2 Switches
4 Sq. Cover For 2 Duplex Receptacles (Quad)
4 Sq. Cover For 1 Switch
4 Sq. Cover For Single Receptacle
4 Sq. Cover For Duplex Receptacle
4 Sq. Cover For 20/30A Twistlock Receptacle
4-11/16 Box
6 Eyeball Trim
4-11/16 Blank Cover
1G Masonry Box
2G Masonry Box
3G Masonry Box
4G Masonry Box
1G Deep Masonry Box
2G Deep Masonry Box
1/4 x 3 Toggle Bolt
3G Deep Masonry Box
4G Deep Masonry Box
4-0 Box
4-0 Blank Cover
Handy Box
Handy Box Blank Cover
Handy Box Switch Cover
Handy Box Duplex Cover
1G Nail-on Box
2G Nail-on Box
3G Nail-on Box
4G Nail-on Box
Round Ceiling Box w/Hanger
Round Nail-on Box
Fan Rated 4-0 Box
Fan Rated 4-0 Box w/Hanger
Fan Rated Pancake Box
Fan Rated Pancake Box w/Hanger
Remodel Fan Brace w/ Box
1G Plastic Cut-in Box
2G Plastic Cut-in Box
Round Plastic Cut-in Box
Square D QO 1P 15-20A GFCI Breaker
Traffic Junction Box
T-Bar Box Hanger (Grid Hanger)
Ceiling Pancake Box
1G Metal Cut-in Box
1G Metal Deep Cut-in Box
Sheetrock Clamps
Square D QO 1P Tandem Breaker 15A & 20A
Square D QO 2P 15A Breaker
Square D QO 1P 15-20A Combo AFCI Breaker
Square D QO 2P 90A Breaker
Square D QO 2P 100A Breaker
Square D QO 2P 125A Breaker
CH 1P 15A Tandem Breaker
CH 1P 15A Breaker
CH 1P 15-20A Combo AFCI Breaker
CH 2P 15A Breaker
CH 2P 90A Breaker
CH 2P 100A Breaker
GE THQP 1P 15A Thin Breaker
GE THQL 1P 15A Thick Breaker
GE THQ 1P 15-20A Combo Afci Breaker
GE THQP 2P 15A Thin Breaker
GE THQL 2P 15A Thick Breaker
GE THQB 3P 100A Breaker (Bolt-In)
Eaton BR 1P 15A Tandem Breaker
Eaton BR 1P 15A Breaker
Eaton BR 1P 15-20a Combo AFCI Breaker
Eaton BR 2P 15A Breaker
Eaton BR 2P 70A Breaker
Eaton BR 2P 80A Breaker
Eaton BR 2P 90A Breaker
Zinsco 1P 15-20A Tandem Breaker
Zinsco 1P 15-50A Breaker
Zinsco 2P 15-60A Thin Breaker
Zinsco 2P 15-60A Thick Breaker
Zinsco 2P 70-100A Thick Breaker
Federal 1P 15-50A Thick Breaker
Federal 2P 15-60A Thin Breaker
Federal 2P 15-60A Thick Breaker
Federal 2P 70-100A Thick Breaker
Crouse Hinds 1P 15-30A Thin Breaker
Crouse Hinds 2P 15-60A Breaker
Crouse Hinds 2P 70-100A Thick Breaker
320W MH PS Ballast
320W MH PS Lamp
70W HPS Lamp B17
100W HPS Medium Base Lamp B17
150W HPS Lamp Mogul Base ED23.5
175W HPS Lamp BD17 (DISCONTINUED)
T12 4' Lamp F40T12
Par 30 Lamp
Par 38 Lamp
A19 Bulb
BR-40 Bulb
BR-30 Bulb
BR-20 Bulb
70W MH Lamp E17 (M98)
100W MH Lamp ES17 (M90)
150W MH Lamp (M102)
175W MH Lamp Medium Base (M57)
250W MH Lamp M58
400W MH Compact Lamp BT28 (M59)
400W MH Lamp BT37 (M59)
1000W MH Compact Lamp BT37 (M47)
1000W MH Lamp BT56 (M47)
T8 4' Fluorescent Lamp F32T8
T12 8' Fluorescent Lamp F96T12
8' T12 HO Lamp F96T12/CWHO
T12 4' Fluorescent Lamp F30T12
6 Trim for Recess Can
1000W HPS Compact Lamp (S52) ED37
3G Plastic Cut-in Box
8' Vaportight Enclosure
Cree 6 Recessed LED Downlight
1/2 Screw On Plastic Bushing
3/4 Screw On Plastic Bushing
1 Screw On Plastic Bushing
1-1/4 Screw On Plastic Bushing
1-1/2 Screw On Plastic Bushing
2 Screw On Plastic Bushing
1/2 Push Penny
3/4 Push Penny
1 Push Penny
1-1/4 Push Penny
1/2 Grounding Bushing
3/4 Grounding Bushing
1 Grounding Bushing
1-1/4 Grounding Bushing
1-1/2 Grounding Bushing
2 Grounding Bushing
2-1/2 Grounding Bushing
3 Grounding Bushing
3-1/2 Grounding Bushing
4 Grounding Bushing
Pop In Plastic Grommet
Mogul Socket
1/4 Beam Clamp
6' 3-Wire Dryer Cord
6' 4-Wire Range Cord
15A 125v Duplex Receptacle
20A 125v Duplex Receptacle
15A 125v Duplex Recessed Receptacle
20A 125V GFCI Receptacle
1000W MH Capacitor
20A 250V Single Receptacle
15A Locking Duplex Receptacle
20A IG Duplex Receptacle
30A 3-wire Dryer Receptacle NEMA 10-30R
30amp 4-wire Dryer Receptacle
50A 3-wire Range Receptacle NEMA 10-50R
50A 4-wire Range Receptacle NEMA 14-50R
15A 1P Toggle Switch
15A 3-way Toggle Switch
20A Double Pole Switch
Doogle Switch
1P Decora Switch
3-way Decora Switch
4-way Decora Switch
600W Rotary Dimmer
Lutron Diva 600w Single Pole/3-WAY Dimmer
Lutron Ariadni Dimmer 600W
Leviton Universal Dimmer
L5-30P 30A Twistlock Male Plug
AC Disconnect 60A
1/2 Pulling L
3/4 Pulling L
1 Pulling L
1/2 EMT
3/4 EMT
1 EMT
1-1/4 EMT
1-1/2 EMT
2 EMT
2-1/2 EMT
3 EMT
3-1/2 EMT
4 EMT
2 EMT 45 Degree Elbow
2-1/2 EMT 45 Degree Elbow
3 EMT 45 Degree Elbow
4 EMT 45 Degree Elbow
1 EMT 90 Degree Elbow
1-1/4 EMT 90 Degree Elbow
1-1/2 EMT 90 Degree Elbow
2 EMT 90 Degree Elbow
2-1/2 EMT 90 Degree Elbow
3 EMT 90 Degree Elbow
3-1/2 EMT 90 Degree Elbow
4 EMT 90 Degree Elbow
1/2 EMT Set Screw Connector
3/4 EMT Set Screw Connector
